time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,304,64,1,2520.0,6039,110.53899652260309,0,4,1,rep2_FOV1
1,1,304,64,1,2524.0,5940,105.93888888888888,0,5,1,rep2_FOV1
2,1,304,64,1,2512.0,5969,106.2248282794438,2,6,0,rep2_FOV1
3,1,304,64,1,2525.0,6084,119.81558185404339,2,4,1,rep2_FOV1
4,1,304,64,1,2510.0,6259,142.4650902700112,1,4,1,rep2_FOV1
5,1,304,64,1,2511.0,6406,157.17639712769278,3,5,0,rep2_FOV1
6,1,304,64,1,2520.0,6317,154.19582080101313,1,4,0,rep2_FOV1
7,1,304,64,1,2526.0,6347,141.92768236962345,1,7,0,rep2_FOV1
8,1,304,64,1,2531.0,6142,128.88196027352654,0,5,0,rep2_FOV1
9,1,304,64,1,2514.0,6058,118.12941564872895,0,4,0,rep2_FOV1
10,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
11,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
12,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
13,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
14,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
15,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
16,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
17,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
18,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
19,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
20,1,304,64,0,0.0,0,0.0,0,0,0,rep2_FOV1
0,2,568,140,1,2189.0,4964,77.68170829975826,2,3,1,rep2_FOV1
1,2,568,140,1,2166.0,5134,85.0876509544215,3,6,1,rep2_FOV1
2,2,568,140,1,2172.0,5368,103.05402384500745,1,5,1,rep2_FOV1
3,2,568,140,1,2169.0,5537,116.45782914935886,4,4,1,rep2_FOV1
4,2,568,140,1,2148.0,5622,130.86161508360013,2,6,1,rep2_FOV1
5,2,568,140,1,2181.0,5708,142.54625087596355,3,6,0,rep2_FOV1
6,2,568,140,1,2177.0,5730,138.84205933682372,2,4,0,rep2_FOV1
7,2,568,140,1,2162.0,5693,137.53539434393113,0,8,0,rep2_FOV1
8,2,568,140,1,2174.0,5655,132.92484526967286,1,4,0,rep2_FOV1
9,2,568,140,1,2183.0,5632,128.5205965909091,1,3,0,rep2_FOV1
10,2,568,140,1,2163.0,5540,121.47075812274369,1,3,0,rep2_FOV1
11,2,568,140,1,2170.0,5468,109.64429407461594,0,3,0,rep2_FOV1
12,2,568,140,1,2157.0,5288,96.69345688350984,0,0,0,rep2_FOV1
13,2,568,140,1,2177.0,5142,84.48599766627771,0,0,0,rep2_FOV1
14,2,568,140,1,2141.0,4866,76.98253185367858,0,0,0,rep2_FOV1
15,2,568,140,0,0.0,0,0.0,0,0,0,rep2_FOV1
16,2,568,140,0,0.0,0,0.0,0,0,0,rep2_FOV1
17,2,568,140,0,0.0,0,0.0,0,0,0,rep2_FOV1
18,2,568,140,0,0.0,0,0.0,0,0,0,rep2_FOV1
19,2,568,140,0,0.0,0,0.0,0,0,0,rep2_FOV1
20,2,568,140,0,0.0,0,0.0,0,0,0,rep2_FOV1
0,3,52,198,1,2387.0,5165,68.0867376573088,2,1,1,rep2_FOV1
1,3,52,198,1,2431.0,5314,71.2177267595032,3,0,0,rep2_FOV1
2,3,52,198,1,2416.0,5343,72.50140370578326,2,2,1,rep2_FOV1
3,3,52,198,1,2415.0,5662,75.95390321441187,2,5,0,rep2_FOV1
4,3,52,198,1,2411.0,5623,80.82322603592388,4,3,0,rep2_FOV1
5,3,52,198,1,2418.0,5730,82.28900523560209,5,4,0,rep2_FOV1
6,3,52,198,1,2401.0,5896,86.83259837177748,0,5,1,rep2_FOV1
7,3,52,198,1,2404.0,5927,93.95748270625948,1,4,1,rep2_FOV1
8,3,52,198,1,2422.0,6261,109.47819837086728,1,6,1,rep2_FOV1
9,3,52,198,1,2397.0,6402,123.68197438300531,2,7,0,rep2_FOV1
10,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
11,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
12,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
13,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
14,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
15,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
16,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
17,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
18,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
19,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
20,3,52,198,0,0.0,0,0.0,0,0,0,rep2_FOV1
0,4,320,270,1,2357.0,6692,165.65257023311418,0,8,1,rep2_FOV1
1,4,320,270,1,2343.0,6569,159.88339168823262,2,9,0,rep2_FOV1
2,4,320,270,1,2343.0,6533,149.01239859176488,1,7,1,rep2_FOV1
3,4,320,270,1,2340.0,6503,139.94202675688143,3,5,0,rep2_FOV1
4,4,320,270,1,2336.0,6334,124.45342595516261,1,3,0,rep2_FOV1
5,4,320,270,1,2341.0,6229,111.41226521110933,1,2,0,rep2_FOV1
6,4,320,270,1,2342.0,6054,99.28675256029072,0,1,1,rep2_FOV1
7,4,320,270,1,2337.0,5932,89.8273769386379,1,2,0,rep2_FOV1
8,4,320,270,1,2336.0,5923,91.19922336653723,1,1,0,rep2_FOV1
9,4,320,270,1,2330.0,5995,91.33427856547122,0,3,0,rep2_FOV1
10,4,320,270,1,2335.0,5877,86.06414837502128,0,0,1,rep2_FOV1
11,4,320,270,1,2343.0,5928,93.06089743589743,2,3,1,rep2_FOV1
12,4,320,270,1,2343.0,6263,106.80775985949225,3,2,0,rep2_FOV1
13,4,320,270,1,2332.0,6290,115.38823529411765,3,3,0,rep2_FOV1
14,4,320,270,1,2346.0,6360,121.87877358490566,1,4,1,rep2_FOV1
15,4,320,270,0,0.0,0,0.0,0,0,0,rep2_FOV1
16,4,320,270,0,0.0,0,0.0,0,0,0,rep2_FOV1
17,4,320,270,0,0.0,0,0.0,0,0,0,rep2_FOV1
18,4,320,270,0,0.0,0,0.0,0,0,0,rep2_FOV1
19,4,320,270,0,0.0,0,0.0,0,0,0,rep2_FOV1
