time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration
0,1,368,102,1,2354.0,5319,77.05677758977251
1,1,368,102,1,2350.0,5390,76.7
2,1,368,102,1,2362.0,5410,75.86025878003697
3,1,368,102,1,2353.0,5268,73.67805618830675
4,1,368,102,1,2354.0,5237,69.54515944242887
5,1,368,102,1,2345.0,5176,68.92214064914992
6,1,368,102,1,2345.0,5070,66.81360946745562
7,1,368,102,1,2356.0,4917,66.08541793776693
8,1,368,102,1,2351.0,4979,64.37698332998595
9,1,368,102,1,2355.0,4758,65.76019335855402
10,1,368,102,1,2346.0,4776,64.34819932998325
11,1,368,102,1,2344.0,4898,66.45835034708044
12,1,368,102,1,2367.0,5196,72.77444187836798
13,1,368,102,1,2362.0,5730,95.78760907504363
14,1,368,102,1,2367.0,6070,116.77907742998353
15,1,368,102,1,2350.0,6126,125.29513548808357
16,1,368,102,1,2350.0,6041,122.6416156265519
17,1,368,102,1,2355.0,6017,118.87086588000665
18,1,368,102,1,2346.0,6091,118.97176161549828
19,1,368,102,1,2358.0,6038,114.41619741636303
20,1,368,102,1,2363.0,6011,107.19930128098486
0,2,510,112,1,2516.0,6231,137.77997111218102
1,2,510,112,1,2540.0,6152,122.49934980494149
2,2,510,112,1,2520.0,5925,106.07071729957806
3,2,510,112,1,2515.0,5878,97.68611772711807
4,2,510,112,1,2512.0,5850,104.1174358974359
5,2,510,112,1,2536.0,5983,117.58515794751797
6,2,510,112,1,2514.0,6106,122.78578447428758
7,2,510,112,1,2549.0,6046,119.43483294740324
8,2,510,112,0,0.0,0,0.0
9,2,510,112,0,0.0,0,0.0
10,2,510,112,0,0.0,0,0.0
11,2,510,112,0,0.0,0,0.0
12,2,510,112,0,0.0,0,0.0
13,2,510,112,0,0.0,0,0.0
14,2,510,112,0,0.0,0,0.0
15,2,510,112,0,0.0,0,0.0
16,2,510,112,0,0.0,0,0.0
17,2,510,112,0,0.0,0,0.0
18,2,510,112,0,0.0,0,0.0
19,2,510,112,0,0.0,0,0.0
20,2,510,112,0,0.0,0,0.0
0,3,130,124,1,2382.0,5854,88.64434574649812
1,3,130,124,1,2400.0,5763,82.22974145410376
2,3,130,124,1,2378.0,5514,77.09339862169024
3,3,130,124,1,2404.0,5539,76.33381476800866
4,3,130,124,1,2404.0,5737,83.87624193829528
5,3,130,124,1,2423.0,5933,95.76302039440418
6,3,130,124,1,2400.0,6092,103.22767564018385
