time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm
0,1,397,68,1,2718.0,6414,105.33879014655442,rep1_FOV1,4,7
1,1,397,68,1,2711.0,6412,101.30193387398629,rep1_FOV1,0,1
2,1,397,68,1,2722.0,6197,90.70453445215426,rep1_FOV1,3,6
3,1,397,68,1,2731.0,6106,82.54683917458237,rep1_FOV1,0,1
4,1,397,68,1,2718.0,5758,75.01979854116013,rep1_FOV1,0,0
5,1,397,68,1,2711.0,5539,70.21429860985738,rep1_FOV1,3,8
6,1,397,68,1,2718.0,5550,69.53009009009008,rep1_FOV1,2,3
7,1,397,68,1,2704.0,5399,66.46434524912021,rep1_FOV1,1,2
8,1,397,68,1,2715.0,5271,66.54354012521343,rep1_FOV1,3,6
9,1,397,68,1,2714.0,5456,65.45729472140762,rep1_FOV1,1,1
10,1,397,68,1,2717.0,5587,68.7329514945409,rep1_FOV1,0,0
11,1,397,68,1,2726.0,5773,71.79646630867833,rep1_FOV1,4,15
12,1,397,68,0,0.0,0,0.0,rep1_FOV1,2,4
13,1,397,68,0,0.0,0,0.0,rep1_FOV1,1,2
14,1,397,68,0,0.0,0,0.0,rep1_FOV1,3,7
15,1,397,68,0,0.0,0,0.0,rep1_FOV1,0,1
16,1,397,68,0,0.0,0,0.0,rep1_FOV1,2,2
17,1,397,68,0,0.0,0,0.0,rep1_FOV1,2,7
18,1,397,68,0,0.0,0,0.0,rep1_FOV1,4,3
19,1,397,68,0,0.0,0,0.0,rep1_FOV1,2,7
20,1,397,68,0,0.0,0,0.0,rep1_FOV1,2,3
0,2,594,96,1,2451.0,5708,85.42904695164681,rep1_FOV1,1,2
1,2,594,96,1,2459.0,5584,80.81554441260745,rep1_FOV1,0,0
2,2,594,96,1,2467.0,5699,82.1472188103176,rep1_FOV1,3,10
3,2,594,96,1,2456.0,5986,96.8748747076512,rep1_FOV1,0,0
4,2,594,96,1,2450.0,6120,107.36633986928103,rep1_FOV1,2,3
5,2,594,96,1,2439.0,6082,103.99473857283787,rep1_FOV1,2,7
6,2,594,96,1,2456.0,6069,102.91333003789752,rep1_FOV1,0,1
7,2,594,96,1,2451.0,5999,94.6071011835306,rep1_FOV1,2,2
8,2,594,96,0,0.0,0,0.0,rep1_FOV1,2,5
9,2,594,96,0,0.0,0,0.0,rep1_FOV1,3,8
10,2,594,96,0,0.0,0,0.0,rep1_FOV1,3,6
11,2,594,96,0,0.0,0,0.0,rep1_FOV1,2,6
12,2,594,96,0,0.0,0,0.0,rep1_FOV1,2,2
13,2,594,96,0,0.0,0,0.0,rep1_FOV1,0,0
14,2,594,96,0,0.0,0,0.0,rep1_FOV1,3,7
15,2,594,96,0,0.0,0,0.0,rep1_FOV1,0,0
16,2,594,96,0,0.0,0,0.0,rep1_FOV1,3,8
17,2,594,96,0,0.0,0,0.0,rep1_FOV1,2,5
18,2,594,96,0,0.0,0,0.0,rep1_FOV1,1,2
19,2,594,96,0,0.0,0,0.0,rep1_FOV1,0,1
20,2,594,96,0,0.0,0,0.0,rep1_FOV1,4,8
0,3,207,161,1,2438.0,7243,113.60389341433108,rep1_FOV1,3,4
1,3,207,161,1,2427.0,7032,103.24274744027304,rep1_FOV1,3,5
2,3,207,161,1,2437.0,6952,97.12356156501724,rep1_FOV1,4,9
3,3,207,161,1,2425.0,6806,90.16441375257126,rep1_FOV1,3,5
4,3,207,161,1,2403.0,6796,88.00691583284285,rep1_FOV1,0,0
5,3,207,161,1,2427.0,7068,102.20345217883418,rep1_FOV1,2,8
6,3,207,161,1,2420.0,6980,101.39312320916903,rep1_FOV1,0,0
7,3,207,161,1,2424.0,7097,99.9708327462308,rep1_FOV1,2,7
8,3,207,161,1,2437.0,7038,103.19451548735437,rep1_FOV1,5,10
9,3,207,161,1,2422.0,7061,103.58702733323892,rep1_FOV1,3,5
10,3,207,161,1,2447.0,7078,102.82692851087876,rep1_FOV1,1,4
11,3,207,161,1,2414.0,6966,98.76600631639393,rep1_FOV1,0,7
12,3,207,161,1,2425.0,7026,102.534585824082,rep1_FOV1,5,2
13,3,207,161,1,2424.0,7164,107.77554438860972,rep1_FOV1,1,7
14,3,207,161,1,2425.0,7080,103.0925141242938,rep1_FOV1,3,8
15,3,207,161,1,2423.0,6951,95.81125017983024,rep1_FOV1,5,9
16,3,207,161,1,2407.0,6788,88.3594578668238,rep1_FOV1,0,0
17,3,207,161,1,2426.0,6789,84.8619826189424,rep1_FOV1,2,9
18,3,207,161,1,2422.0,6870,91.29141193595342,rep1_FOV1,0,0
19,3,207,161,1,2413.0,6926,97.95177591683512,rep1_FOV1,2,5
20,3,207,161,0,0.0,0,0.0,rep1_FOV1,2,8
0,4,327,203,1,2713.0,6689,90.140678726267,rep1_FOV1,0,0
1,4,327,203,1,2735.0,6658,84.17302493241213,rep1_FOV1,3,7
2,4,327,203,1,2743.0,6359,76.8021701525397,rep1_FOV1,0,6
3,4,327,203,1,2731.0,6328,73.38305941845765,rep1_FOV1,4,1
4,4,327,203,1,2728.0,6253,72.66624020470174,rep1_FOV1,0,8
5,4,327,203,0,0.0,0,0.0,rep1_FOV1,1,6
6,4,327,203,0,0.0,0,0.0,rep1_FOV1,4,9
7,4,327,203,0,0.0,0,0.0,rep1_FOV1,0,0
8,4,327,203,0,0.0,0,0.0,rep1_FOV1,2,9
9,4,327,203,0,0.0,0,0.0,rep1_FOV1,1,1
10,4,327,203,0,0.0,0,0.0,rep1_FOV1,0,2
11,4,327,203,0,0.0,0,0.0,rep1_FOV1,3,9
12,4,327,203,0,0.0,0,0.0,rep1_FOV1,0,0
13,4,327,203,0,0.0,0,0.0,rep1_FOV1,3,5
14,4,327,203,0,0.0,0,0.0,rep1_FOV1,0,3
15,4,327,203,0,0.0,0,0.0,rep1_FOV1,1,2
16,4,327,203,0,0.0,0,0.0,rep1_FOV1,0,4
17,4,327,203,0,0.0,0,0.0,rep1_FOV1,0,0
18,4,327,203,0,0.0,0,0.0,rep1_FOV1,3,11
19,4,327,203,0,0.0,0,0.0,rep1_FOV1,0,0
20,4,327,203,0,0.0,0,0.0,rep1_FOV1,1,9
0,5,599,206,1,2507.0,5619,70.90336358782702,rep1_FOV1,0,0
1,5,599,206,1,2525.0,5569,70.29897647692584,rep1_FOV1,1,2
2,5,599,206,1,2510.0,5612,71.74786172487526,rep1_FOV1,2,9
3,5,599,206,1,2504.0,5818,75.35699553111034,rep1_FOV1,0,0
4,5,599,206,1,2514.0,6030,81.23482587064677,rep1_FOV1,2,6
5,5,599,206,1,2533.0,6040,83.69850993377483,rep1_FOV1,0,0
6,5,599,206,1,2517.0,6142,86.51107131227613,rep1_FOV1,2,1
7,5,599,206,1,2528.0,6302,95.056807362742,rep1_FOV1,0,4
8,5,599,206,1,2517.0,6298,96.01381390917751,rep1_FOV1,0,0
9,5,599,206,1,2509.0,6514,113.56877494626956,rep1_FOV1,3,5
10,5,599,206,1,2519.0,6617,120.80852350007557,rep1_FOV1,0,0
11,5,599,206,1,2514.0,6645,124.2158013544018,rep1_FOV1,1,3
12,5,599,206,1,2517.0,6611,123.36348510058993,rep1_FOV1,0,0
13,5,599,206,1,2509.0,6648,121.75195547533092,rep1_FOV1,0,0
14,5,599,206,1,2514.0,6677,119.3742698816834,rep1_FOV1,4,9
15,5,599,206,1,2512.0,6644,127.38470800722456,rep1_FOV1,0,0
16,5,599,206,1,2510.0,6816,145.0837734741784,rep1_FOV1,3,4
17,5,599,206,0,0.0,0,0.0,rep1_FOV1,1,1
18,5,599,206,0,0.0,0,0.0,rep1_FOV1,4,1
19,5,599,206,0,0.0,0,0.0,rep1_FOV1,0,9
20,5,599,206,0,0.0,0,0.0,rep1_FOV1,0,0
0,6,490,245,1,2691.0,6339,120.12809591418204,rep1_FOV1,3,7
1,6,490,245,1,2680.0,6511,132.90800184303487,rep1_FOV1,0,0
2,6,490,245,1,2694.0,6472,132.7724042027194,rep1_FOV1,1,4
3,6,490,245,1,2684.0,6530,131.6021439509954,rep1_FOV1,2,3
4,6,490,245,1,2684.0,6393,125.75441889566711,rep1_FOV1,0,0
5,6,490,245,1,2686.0,6357,116.830108541765,rep1_FOV1,3,7
6,6,490,245,1,2688.0,6276,109.4874123645634,rep1_FOV1,0,0
7,6,490,245,1,2678.0,6117,98.60062121955208,rep1_FOV1,2,7
8,6,490,245,1,2667.0,5957,87.25297968776229,rep1_FOV1,4,8
9,6,490,245,1,2691.0,5968,87.46179624664879,rep1_FOV1,4,1
10,6,490,245,0,0.0,0,0.0,rep1_FOV1,0,14
11,6,490,245,0,0.0,0,0.0,rep1_FOV1,0,0
12,6,490,245,0,0.0,0,0.0,rep1_FOV1,0,0
13,6,490,245,0,0.0,0,0.0,rep1_FOV1,0,0
14,6,490,245,0,0.0,0,0.0,rep1_FOV1,1,3
15,6,490,245,0,0.0,0,0.0,rep1_FOV1,1,3
16,6,490,245,0,0.0,0,0.0,rep1_FOV1,0,0
17,6,490,245,0,0.0,0,0.0,rep1_FOV1,2,8
18,6,490,245,0,0.0,0,0.0,rep1_FOV1,0,0
19,6,490,245,0,0.0,0,0.0,rep1_FOV1,2,4
20,6,490,245,0,0.0,0,0.0,rep1_FOV1,0,0
0,7,85,448,1,2658.0,5606,72.71298608633607,rep1_FOV1,4,1
1,7,85,448,1,2676.0,5656,72.74062942008487,rep1_FOV1,0,11
2,7,85,448,1,2669.0,5923,83.45568124261354,rep1_FOV1,0,0
3,7,85,448,1,2654.0,6071,88.57684071816834,rep1_FOV1,0,0
4,7,85,448,1,2656.0,6013,89.82388158988857,rep1_FOV1,0,0
5,7,85,448,1,2642.0,6178,91.59307219164778,rep1_FOV1,0,3
6,7,85,448,1,2674.0,6105,93.64602784602783,rep1_FOV1,1,3
