time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,file_name
0,1,497,72,1,2590.0,5325,77.221220657277,rep1_FOV3
1,1,497,72,1,2584.0,5312,75.0269201807229,rep1_FOV3
2,1,497,72,1,2587.0,5268,73.97930903568717,rep1_FOV3
3,1,497,72,1,2565.0,5460,80.08699633699634,rep1_FOV3
4,1,497,72,1,2564.0,5724,94.88522012578616,rep1_FOV3
5,1,497,72,1,2566.0,5640,88.31613475177305,rep1_FOV3
6,1,497,72,1,2589.0,5526,82.90155627940645,rep1_FOV3
7,1,497,72,1,2575.0,5423,80.58897289323252,rep1_FOV3
8,1,497,72,1,2566.0,5349,76.83006169377454,rep1_FOV3
9,1,497,72,1,2585.0,5242,73.68466234261732,rep1_FOV3
10,1,497,72,1,2570.0,5034,69.47914183551848,rep1_FOV3
11,1,497,72,1,2564.0,4932,68.97485806974858,rep1_FOV3
12,1,497,72,1,2559.0,4855,67.02760041194645,rep1_FOV3
13,1,497,72,1,2576.0,4977,67.00542495479205,rep1_FOV3
14,1,497,72,1,2587.0,5066,69.13758389261746,rep1_FOV3
15,1,497,72,1,2561.0,5154,72.03570042685293,rep1_FOV3
16,1,497,72,1,2589.0,5381,76.26928080282475,rep1_FOV3
17,1,497,72,1,2580.0,5421,80.56188895037816,rep1_FOV3
18,1,497,72,1,2583.0,5478,79.3930266520628,rep1_FOV3
19,1,497,72,1,2563.0,5357,77.41217099122643,rep1_FOV3
20,1,497,72,1,2579.0,5335,75.53514526710403,rep1_FOV3
0,2,231,92,1,2584.0,6244,73.02642536835361,rep1_FOV3
1,2,231,92,1,2588.0,6186,72.66715163271904,rep1_FOV3
2,2,231,92,1,2611.0,6229,74.0062610370846,rep1_FOV3
3,2,231,92,1,2599.0,6396,79.70997498436523,rep1_FOV3
4,2,231,92,1,2582.0,6642,85.60764829870521,rep1_FOV3
5,2,231,92,1,2603.0,6488,81.02681874229347,rep1_FOV3
6,2,231,92,1,2588.0,6408,79.33052434456928,rep1_FOV3
7,2,231,92,1,2594.0,6443,78.55145118733509,rep1_FOV3
8,2,231,92,1,2598.0,6389,78.10142432305526,rep1_FOV3
9,2,231,92,1,2588.0,6430,79.48304821150856,rep1_FOV3
10,2,231,92,1,2605.0,6569,83.25498553813365,rep1_FOV3
11,2,231,92,1,2597.0,6583,85.58772596080814,rep1_FOV3
12,2,231,92,1,2565.0,6553,83.55363955440257,rep1_FOV3
13,2,231,92,1,2588.0,6493,80.06653318958878,rep1_FOV3
14,2,231,92,1,2592.0,6329,75.88465792384262,rep1_FOV3
15,2,231,92,1,2576.0,6275,74.51633466135458,rep1_FOV3
16,2,231,92,1,2577.0,6080,70.91430921052631,rep1_FOV3
17,2,231,92,1,2585.0,6033,70.60069617105917,rep1_FOV3
18,2,231,92,1,2597.0,6037,69.46993539837668,rep1_FOV3
19,2,231,92,1,2598.0,5985,67.9844611528822,rep1_FOV3
20,2,231,92,1,2581.0,6016,70.1815159574468,rep1_FOV3
0,3,187,208,1,2587.0,5594,78.83589560243118,rep1_FOV3
1,3,187,208,1,2590.0,5501,76.28176695146337,rep1_FOV3
2,3,187,208,1,2584.0,5315,72.46886171213546,rep1_FOV3
3,3,187,208,1,2573.0,5135,69.882570593963,rep1_FOV3
4,3,187,208,1,2601.0,5154,67.9138533178114,rep1_FOV3
5,3,187,208,1,2574.0,5112,66.94151017214398,rep1_FOV3
6,3,187,208,1,2577.0,5010,67.84031936127745,rep1_FOV3
7,3,187,208,1,2555.0,4980,64.6706827309237,rep1_FOV3
8,3,187,208,1,2590.0,4994,66.14016820184222,rep1_FOV3
9,3,187,208,1,2574.0,4420,66.24886877828054,rep1_FOV3
10,3,187,208,1,2587.0,4998,66.33513405362145,rep1_FOV3
11,3,187,208,1,2574.0,5085,67.43677482792528,rep1_FOV3
12,3,187,208,1,2579.0,5112,68.28638497652582,rep1_FOV3
13,3,187,208,1,2572.0,5205,69.09106628242075,rep1_FOV3
14,3,187,208,1,2588.0,5126,69.18806086617245,rep1_FOV3
15,3,187,208,1,2588.0,5102,68.31909055272442,rep1_FOV3
16,3,187,208,1,2563.0,5079,67.21244339436898,rep1_FOV3
17,3,187,208,1,2564.0,5170,66.72804642166345,rep1_FOV3
18,3,187,208,1,2582.0,5082,67.32762691853601,rep1_FOV3
19,3,187,208,1,2582.0,4985,65.83530591775326,rep1_FOV3
20,3,187,208,1,2574.0,5014,65.58635819704827,rep1_FOV3
0,4,521,223,1,2462.0,5629,109.17001243560135,rep1_FOV3
1,4,521,223,1,2465.0,5784,121.10148686030429,rep1_FOV3
2,4,521,223,1,2446.0,5881,134.4970243155926,rep1_FOV3
3,4,521,223,1,2458.0,5929,144.13391803002193,rep1_FOV3
4,4,521,223,1,2432.0,5966,146.1208514917868,rep1_FOV3
5,4,521,223,1,2460.0,5801,120.69677641785898,rep1_FOV3
6,4,521,223,1,2438.0,5632,103.29936079545455,rep1_FOV3
7,4,521,223,1,2443.0,5466,93.81229418221734,rep1_FOV3
8,4,521,223,1,2449.0,5187,80.60690187005976,rep1_FOV3
9,4,521,223,1,2427.0,5012,76.21867517956903,rep1_FOV3
10,4,521,223,1,2460.0,4873,73.5093371639647,rep1_FOV3
11,4,521,223,1,2443.0,4844,70.25061932287366,rep1_FOV3
12,4,521,223,1,2439.0,4779,69.7953546767106,rep1_FOV3
13,4,521,223,1,2443.0,4778,70.63206362494768,rep1_FOV3
14,4,521,223,1,2440.0,4870,70.17926078028748,rep1_FOV3
15,4,521,223,1,2445.0,4726,69.74566229369445,rep1_FOV3
16,4,521,223,1,2448.0,4830,69.73706004140787,rep1_FOV3
17,4,521,223,1,2436.0,4716,67.99851569126378,rep1_FOV3
18,4,521,223,1,2423.0,4629,68.57744653272844,rep1_FOV3
19,4,521,223,1,2418.0,4749,68.0835965466414,rep1_FOV3
20,4,521,223,1,2451.0,4745,69.12075869336144,rep1_FOV3
0,5,290,315,1,2627.0,5490,82.08051001821494,rep1_FOV3
1,5,290,315,1,2633.0,5475,78.52712328767123,rep1_FOV3
2,5,290,315,1,2621.0,5360,75.35335820895523,rep1_FOV3
3,5,290,315,1,2609.0,5318,73.03629183903723,rep1_FOV3
4,5,290,315,1,2594.0,5162,70.99128244866331,rep1_FOV3
5,5,290,315,1,2641.0,5039,68.29430442548124,rep1_FOV3
6,5,290,315,1,2623.0,5116,67.6534401876466,rep1_FOV3
7,5,290,315,1,2614.0,5047,68.70873786407768,rep1_FOV3
8,5,290,315,1,2609.0,5126,70.32305891533359,rep1_FOV3
9,5,290,315,1,2618.0,5182,70.70262446931686,rep1_FOV3
10,5,290,315,1,2628.0,5325,75.6050704225352,rep1_FOV3
11,5,290,315,1,2620.0,5403,76.5348880251712,rep1_FOV3
12,5,290,315,1,2617.0,5294,73.840574234983,rep1_FOV3
13,5,290,315,1,2615.0,5089,70.27667518176459,rep1_FOV3
14,5,290,315,1,2604.0,5125,69.68721951219513,rep1_FOV3
15,5,290,315,1,2599.0,5138,70.62203191903464,rep1_FOV3
16,5,290,315,1,2626.0,5014,68.9844435580375,rep1_FOV3
17,5,290,315,1,2630.0,5043,69.07614515169541,rep1_FOV3
18,5,290,315,1,2607.0,4972,67.86745776347546,rep1_FOV3
19,5,290,315,1,2617.0,4906,67.88931920097839,rep1_FOV3
20,5,290,315,1,2633.0,4933,66.47395094263126,rep1_FOV3
0,6,54,393,1,2379.0,5540,71.14440433212997,rep1_FOV3
1,6,54,393,1,2375.0,5445,72.10027548209366,rep1_FOV3
2,6,54,393,1,2384.0,5548,73.36481614996396,rep1_FOV3
