time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,61,52,1,2560.0,7265,144.3760495526497,2,5,1,rep1_FOV1
1,1,61,52,1,2547.0,7235,139.19930891499655,3,10,1,rep1_FOV1
2,1,61,52,1,2530.0,7347,155.7383966244726,3,7,1,rep1_FOV1
3,1,61,52,1,2545.0,7402,176.30491758984058,2,6,1,rep1_FOV1
4,1,61,52,1,2540.0,7498,188.55788210189385,1,7,1,rep1_FOV1
5,1,61,52,1,2545.0,7283,148.28037896471236,4,6,1,rep1_FOV1
6,1,61,52,1,2536.0,7184,127.46868040089088,3,6,1,rep1_FOV1
7,1,61,52,1,2532.0,6981,114.63543904884688,3,9,0,rep1_FOV1
8,1,61,52,1,2557.0,6849,103.62593079281648,2,8,0,rep1_FOV1
9,1,61,52,1,2547.0,6807,94.57308652857353,1,8,1,rep1_FOV1
10,1,61,52,1,2530.0,6614,89.4209253099486,1,11,1,rep1_FOV1
11,1,61,52,1,2558.0,6648,87.70743080625752,2,12,1,rep1_FOV1
12,1,61,52,1,2552.0,6523,85.50421585160203,1,12,1,rep1_FOV1
13,1,61,52,1,2539.0,6568,84.36479902557856,2,7,2,rep1_FOV1
14,1,61,52,1,2526.0,6563,84.01645588907512,2,12,0,rep1_FOV1
15,1,61,52,1,2530.0,6560,85.27743902439025,2,7,0,rep1_FOV1
16,1,61,52,1,2553.0,6502,81.80375269147954,3,8,0,rep1_FOV1
17,1,61,52,1,2552.0,6467,79.0236585743003,0,3,1,rep1_FOV1
18,1,61,52,1,2568.0,6344,76.44293820933166,3,5,0,rep1_FOV1
19,1,61,52,1,2557.0,6361,75.53104857726773,1,7,1,rep1_FOV1
20,1,61,52,1,2535.0,6493,81.02310180194056,4,4,1,rep1_FOV1
0,2,427,135,1,2802.0,5949,94.51050596738948,2,3,0,rep1_FOV1
1,2,427,135,1,2814.0,5934,92.79305695989214,1,3,0,rep1_FOV1
2,2,427,135,1,2801.0,5825,90.30643776824034,1,2,0,rep1_FOV1
3,2,427,135,1,2803.0,5820,86.81082474226804,0,1,1,rep1_FOV1
4,2,427,135,1,2806.0,5706,81.59971959341044,2,1,0,rep1_FOV1
5,2,427,135,1,2806.0,5516,75.67730239303843,3,0,0,rep1_FOV1
6,2,427,135,1,2818.0,5416,73.41469719350074,2,1,0,rep1_FOV1
7,2,427,135,1,2804.0,5242,69.1087371232354,1,0,0,rep1_FOV1
8,2,427,135,1,2822.0,5155,67.37129000969932,1,0,0,rep1_FOV1
9,2,427,135,1,2813.0,5234,67.91364157432174,1,1,0,rep1_FOV1
10,2,427,135,1,2815.0,5014,67.0301156761069,2,0,1,rep1_FOV1
11,2,427,135,1,2812.0,5130,65.50506822612086,1,1,1,rep1_FOV1
12,2,427,135,1,2825.0,5108,67.12059514487079,3,1,0,rep1_FOV1
13,2,427,135,1,2811.0,5231,68.57426878225961,3,3,0,rep1_FOV1
14,2,427,135,1,2820.0,5306,69.19110441010177,2,1,1,rep1_FOV1
15,2,427,135,1,2801.0,5354,70.0364213672021,3,3,0,rep1_FOV1
16,2,427,135,1,2801.0,5369,71.05904265226299,3,4,0,rep1_FOV1
17,2,427,135,1,2841.0,5319,71.33352133859748,1,3,0,rep1_FOV1
18,2,427,135,1,2811.0,5282,70.05168496781522,1,1,0,rep1_FOV1
19,2,427,135,1,2814.0,5333,70.66154134633415,1,1,0,rep1_FOV1
20,2,427,135,1,2805.0,5278,69.6095111784767,2,2,0,rep1_FOV1
0,3,520,205,1,2489.0,6868,159.25364006988934,0,6,0,rep1_FOV1
1,3,520,205,1,2502.0,6755,139.38667653589934,1,3,0,rep1_FOV1
2,3,520,205,1,2501.0,6600,118.46636363636364,1,2,0,rep1_FOV1
3,3,520,205,1,2480.0,6320,100.92610759493672,1,1,0,rep1_FOV1
4,3,520,205,1,2502.0,6163,90.1372708096706,1,0,0,rep1_FOV1
5,3,520,205,1,2494.0,5912,80.84370771312585,0,2,0,rep1_FOV1
6,3,520,205,1,2494.0,5795,75.4334771354616,3,0,0,rep1_FOV1
7,3,520,205,1,2499.0,5704,73.26700561009818,0,2,1,rep1_FOV1
8,3,520,205,1,2499.0,5696,72.39729634831461,2,2,1,rep1_FOV1
