time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,111,59,1,2667.0,13853,131.97430159532232,7,24,1,rep2_FOV1
1,1,111,59,1,2680.0,13923,141.83617036558212,10,20,2,rep2_FOV1
2,1,111,59,1,2680.0,13885,150.63795462729564,5,21,2,rep2_FOV1
3,1,111,59,1,2699.0,13951,165.215396745753,4,21,1,rep2_FOV1
4,1,111,59,1,2667.0,13932,176.54931093884582,4,21,2,rep2_FOV1
5,1,111,59,1,2683.0,13626,177.00322912079847,9,20,3,rep2_FOV1
6,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
7,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
8,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
9,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
10,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
11,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
12,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
13,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
14,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
15,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
16,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
17,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
18,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
19,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
20,1,111,59,0,0.0,0,0.0,0,0,0,rep2_FOV1
0,2,257,55,1,2572.0,6432,80.30301616915423,0,1,0,rep2_FOV1
1,2,257,55,1,2596.0,6194,74.35066193090087,0,1,1,rep2_FOV1
2,2,257,55,1,2579.0,6344,76.39486128625472,0,1,1,rep2_FOV1
3,2,257,55,1,2553.0,6348,74.43635790800252,1,0,1,rep2_FOV1
4,2,257,55,1,2580.0,6218,71.68800257317466,2,0,1,rep2_FOV1
5,2,257,55,1,2570.0,6277,76.22399235303489,2,5,1,rep2_FOV1
6,2,257,55,1,2568.0,6652,89.64762477450391,1,5,1,rep2_FOV1
7,2,257,55,1,2580.0,6917,100.2545901402342,0,4,1,rep2_FOV1
8,2,257,55,1,2569.0,7123,106.05124245402219,1,8,1,rep2_FOV1
9,2,257,55,1,2578.0,7002,109.19680091402456,2,4,0,rep2_FOV1
10,2,257,55,1,2594.0,6914,104.30619033844374,1,3,0,rep2_FOV1
11,2,257,55,1,2579.0,6988,101.92902117916428,0,4,0,rep2_FOV1
12,2,257,55,1,2582.0,6743,92.99762716891591,0,0,0,rep2_FOV1
13,2,257,55,1,2582.0,6482,83.0185128046899,0,0,0,rep2_FOV1
14,2,257,55,1,2579.0,6240,75.84775641025641,0,0,0,rep2_FOV1
15,2,257,55,1,2583.0,6101,70.81937387313555,0,0,0,rep2_FOV1
16,2,257,55,1,2561.0,5961,68.90622378795504,0,0,1,rep2_FOV1
17,2,257,55,1,2564.0,5968,68.55579758713137,1,2,1,rep2_FOV1
18,2,257,55,1,2581.0,6282,78.16937281120663,4,2,1,rep2_FOV1
19,2,257,55,1,2583.0,6588,84.9139344262295,2,4,0,rep2_FOV1
20,2,257,55,1,2568.0,6604,89.28694730466384,0,3,1,rep2_FOV1
0,3,475,89,1,2650.0,6000,91.5755,4,5,0,rep2_FOV1
1,3,475,89,1,2646.0,6024,93.28021248339974,1,3,0,rep2_FOV1
2,3,475,89,1,2649.0,5951,88.86304822718871,0,4,1,rep2_FOV1
3,3,475,89,1,2665.0,5991,85.61625771991321,2,3,0,rep2_FOV1
4,3,475,89,1,2666.0,5869,84.45663656500255,1,2,0,rep2_FOV1
5,3,475,89,1,2665.0,5817,81.63589479112945,0,1,0,rep2_FOV1
6,3,475,89,1,2672.0,5759,76.79753429414829,0,0,0,rep2_FOV1
7,3,475,89,1,2664.0,5498,71.8437613677701,0,0,0,rep2_FOV1
8,3,475,89,1,2653.0,5366,69.27506522549385,1,0,1,rep2_FOV1
9,3,475,89,1,2660.0,5437,72.64962295383484,3,2,1,rep2_FOV1
10,3,475,89,1,2667.0,5967,90.51918887213004,3,7,1,rep2_FOV1
11,3,475,89,1,2.0,6261,111.00702763136879,6,6,0,rep2_FOV1
12,3,475,89,1,2657.0,6318,118.92798353909465,1,6,1,rep2_FOV1
13,3,475,89,1,2665.0,6440,127.79642857142858,2,4,1,rep2_FOV1
14,3,475,89,1,2658.0,6508,136.1278426551936,4,6,1,rep2_FOV1
15,3,475,89,1,2675.0,6620,152.4654078549849,2,9,0,rep2_FOV1
16,3,475,89,1,2652.0,6604,149.89203513022412,4,9,1,rep2_FOV1
17,3,475,89,1,2652.0,6566,145.94395370088333,3,5,0,rep2_FOV1
18,3,475,89,1,2675.0,6476,130.764515132798,0,6,0,rep2_FOV1
19,3,475,89,1,2672.0,6333,115.46834043897047,0,3,0,rep2_FOV1
20,3,475,89,1,2663.0,6187,104.33538063681914,0,1,0,rep2_FOV1
0,4,82,165,1,2834.0,13853,131.97430159532232,7,24,1,rep2_FOV1
1,4,82,165,1,2863.0,13923,141.83617036558212,10,20,2,rep2_FOV1
2,4,82,165,1,2842.0,13885,150.63795462729564,5,21,2,rep2_FOV1
3,4,82,165,1,2833.0,13951,165.215396745753,4,21,1,rep2_FOV1
4,4,82,165,1,2829.0,13932,176.54931093884582,4,21,2,rep2_FOV1
5,4,82,165,1,2827.0,13626,177.00322912079847,9,20,3,rep2_FOV1
6,4,82,165,1,2813.0,8310,243.4399518652226,4,20,1,rep2_FOV1
7,4,82,165,1,2809.0,8004,236.8404547726137,1,12,1,rep2_FOV1
8,4,82,165,1,2822.0,7951,205.4247264495032,3,14,1,rep2_FOV1
9,4,82,165,1,2827.0,7866,198.54818204932621,4,11,0,rep2_FOV1
10,4,82,165,1,2815.0,7797,184.7318199307426,1,12,1,rep2_FOV1
11,4,82,165,1,2661.0,7675,167.98188925081433,-1,10,2,rep2_FOV1
12,4,82,165,1,2826.0,7722,164.3870758870759,3,13,3,rep2_FOV1
13,4,82,165,1,2839.0,7740,165.37739018087856,3,11,2,rep2_FOV1
14,4,82,165,1,2839.0,7761,174.4718464115449,5,16,2,rep2_FOV1
15,4,82,165,1,2841.0,7842,178.6173170109666,4,16,1,rep2_FOV1
16,4,82,165,1,2820.0,7734,169.76907163175588,3,14,1,rep2_FOV1
17,4,82,165,1,2842.0,7695,158.83053931124107,6,9,1,rep2_FOV1
18,4,82,165,1,2811.0,7585,147.110349373764,7,10,1,rep2_FOV1
19,4,82,165,1,2839.0,7524,129.38370547581073,4,8,1,rep2_FOV1
20,4,82,165,1,2862.0,7442,121.49543133566246,6,8,1,rep2_FOV1
0,5,534,272,1,2541.0,6418,119.69803677157994,5,6,1,rep2_FOV1
1,5,534,272,1,2536.0,6672,148.054706235012,5,11,1,rep2_FOV1
2,5,534,272,1,2556.0,6822,176.21152154793316,6,19,1,rep2_FOV1
3,5,534,272,1,2548.0,6876,191.15837696335078,4,11,1,rep2_FOV1
4,5,534,272,1,2558.0,6840,178.10233918128654,3,9,1,rep2_FOV1
5,5,534,272,1,2531.0,6761,162.64842478923237,2,7,0,rep2_FOV1
6,5,534,272,1,2552.0,6656,143.68088942307693,2,7,0,rep2_FOV1
7,5,534,272,1,2554.0,6503,125.8980470552053,2,2,0,rep2_FOV1
8,5,534,272,1,2559.0,6357,108.05364165486864,0,2,0,rep2_FOV1
