time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration,number_of_mRNA_in_nucleus,number_of_mRNA_in_cytoplasm,number_of_transcription_sites,file_name
0,1,339,59,1,2659.0,5843,85.78350162587712,3,2,0,rep1_FOV1
1,1,339,59,1,2665.0,5748,86.6490953375087,4,3,1,rep1_FOV1
2,1,339,59,1,2681.0,5943,94.2078075046273,3,9,1,rep1_FOV1
3,1,339,59,1,2668.0,6194,107.1842105263158,3,10,1,rep1_FOV1
4,1,339,59,1,2654.0,6337,122.45668297301562,4,12,1,rep1_FOV1
5,1,339,59,1,2650.0,6470,141.1868624420402,3,10,1,rep1_FOV1
6,1,339,59,1,2637.0,6671,166.9499325438465,4,17,1,rep1_FOV1
7,1,339,59,1,2669.0,6678,183.95372866127585,2,12,1,rep1_FOV1
8,1,339,59,1,2661.0,6722,179.91133591193096,3,12,1,rep1_FOV1
9,1,339,59,1,2678.0,6706,176.0302713987474,4,14,2,rep1_FOV1
10,1,339,59,1,2690.0,6691,180.96876401135853,6,10,1,rep1_FOV1
11,1,339,59,1,2649.0,6699,183.25197790715032,3,8,2,rep1_FOV1
12,1,339,59,1,2678.0,6701,179.95135054469483,1,9,2,rep1_FOV1
13,1,339,59,1,2648.0,6699,183.4345424690252,2,16,1,rep1_FOV1
14,1,339,59,1,2676.0,6672,177.5810851318945,8,15,1,rep1_FOV1
15,1,339,59,1,2657.0,6728,183.69887039239,6,10,1,rep1_FOV1
16,1,339,59,1,2657.0,6669,179.74358974358975,5,9,0,rep1_FOV1
17,1,339,59,1,2659.0,6597,165.0354706684857,2,5,0,rep1_FOV1
18,1,339,59,1,2668.0,6536,145.05110159118726,1,5,0,rep1_FOV1
19,1,339,59,1,2652.0,6358,126.7258571877949,1,5,0,rep1_FOV1
20,1,339,59,1,2684.0,6137,109.84813426755744,0,3,0,rep1_FOV1
0,2,118,62,1,2674.0,5936,67.87550539083558,0,0,0,rep1_FOV1
1,2,118,62,1,2692.0,5753,66.73787589083956,1,0,0,rep1_FOV1
2,2,118,62,1,2674.0,5910,66.39204737732656,1,0,0,rep1_FOV1
3,2,118,62,1,2702.0,5758,66.72733588051406,0,2,1,rep1_FOV1
4,2,118,62,1,2695.0,6081,70.64578194375925,3,4,1,rep1_FOV1
5,2,118,62,1,2690.0,6382,78.60012535255406,2,3,1,rep1_FOV1
6,2,118,62,1,2689.0,6516,83.2866789441375,1,4,0,rep1_FOV1
7,2,118,62,1,2675.0,6672,83.73741007194245,0,0,0,rep1_FOV1
8,2,118,62,1,2700.0,6531,82.32429949471751,0,0,0,rep1_FOV1
9,2,118,62,1,2712.0,6475,80.00710424710425,0,2,1,rep1_FOV1
10,2,118,62,1,2705.0,6519,79.17395306028531,1,2,1,rep1_FOV1
11,2,118,62,1,2675.0,6519,81.00061359104157,2,2,0,rep1_FOV1
12,2,118,62,1,2684.0,6408,76.78401997503121,2,0,0,rep1_FOV1
13,2,118,62,1,2695.0,6239,74.44622535662766,0,1,0,rep1_FOV1
14,2,118,62,1,2697.0,6204,72.16827852998065,0,1,0,rep1_FOV1
15,2,118,62,1,2702.0,6061,70.13793103448276,0,0,0,rep1_FOV1
16,2,118,62,1,2694.0,5978,68.59769153563064,0,0,0,rep1_FOV1
17,2,118,62,1,2692.0,6108,67.1381794368042,0,0,0,rep1_FOV1
18,2,118,62,1,2697.0,5954,66.06583809203896,0,0,0,rep1_FOV1
19,2,118,62,1,2701.0,5791,65.69262648938007,0,0,0,rep1_FOV1
20,2,118,62,1,2691.0,5724,67.1722571628232,0,0,0,rep1_FOV1
0,3,478,91,1,2589.0,7071,141.12289633715176,6,14,1,rep1_FOV1
1,3,478,91,1,2614.0,7099,150.35357092548247,2,14,1,rep1_FOV1
2,3,478,91,1,2595.0,7152,154.95329977628634,2,8,0,rep1_FOV1
3,3,478,91,1,2597.0,7089,145.38736069967555,0,9,1,rep1_FOV1
4,3,478,91,1,2610.0,6972,134.26376936316694,2,6,1,rep1_FOV1
5,3,478,91,1,2582.0,6975,131.7146953405018,5,9,1,rep1_FOV1
6,3,478,91,1,2609.0,7041,135.83951143303509,2,9,0,rep1_FOV1
7,3,478,91,1,2618.0,7028,137.1478372225384,0,9,1,rep1_FOV1
8,3,478,91,1,2602.0,7007,134.89767375481662,4,9,1,rep1_FOV1
9,3,478,91,1,2587.0,6976,130.83428899082568,1,12,1,rep1_FOV1
10,3,478,91,1,2604.0,6963,124.75757575757576,3,5,0,rep1_FOV1
11,3,478,91,1,2596.0,6818,117.81534174244646,3,4,0,rep1_FOV1
12,3,478,91,1,2619.0,6789,110.29267933421713,0,5,0,rep1_FOV1
13,3,478,91,1,2603.0,6626,100.62390582553576,0,3,0,rep1_FOV1
14,3,478,91,1,2599.0,6489,92.90137155185698,0,4,0,rep1_FOV1
15,3,478,91,1,2599.0,6500,92.33153846153846,2,4,0,rep1_FOV1
16,3,478,91,1,2601.0,6507,93.18395573997232,0,5,0,rep1_FOV1
17,3,478,91,1,2592.0,6460,89.24613003095975,0,2,0,rep1_FOV1
18,3,478,91,1,2602.0,6317,84.88507202786133,0,1,0,rep1_FOV1
19,3,478,91,1,2603.0,6256,79.7170716112532,0,1,0,rep1_FOV1
20,3,478,91,0,0.0,0,0.0,0,0,0,rep1_FOV1
0,4,102,179,1,2802.0,6352,99.13082493702773,2,4,0,rep1_FOV1
1,4,102,179,1,2804.0,6309,94.50451735615788,2,2,0,rep1_FOV1
2,4,102,179,1,2828.0,6248,89.70518565941101,1,1,0,rep1_FOV1
3,4,102,179,1,2818.0,6050,84.17735537190083,4,1,1,rep1_FOV1
4,4,102,179,1,2801.0,6118,84.12880026152338,2,7,1,rep1_FOV1
5,4,102,179,1,2811.0,6136,89.92161016949153,0,4,2,rep1_FOV1
6,4,102,179,1,2823.0,6301,95.94540549119188,8,4,1,rep1_FOV1
7,4,102,179,1,2808.0,6410,101.26458658346334,2,6,0,rep1_FOV1
8,4,102,179,1,2822.0,6407,104.0948962072733,0,6,0,rep1_FOV1
9,4,102,179,1,2828.0,6431,104.9919141657596,0,5,0,rep1_FOV1
10,4,102,179,1,2807.0,6322,100.04049351471052,0,3,0,rep1_FOV1
11,4,102,179,1,2799.0,6226,93.10167041439126,0,1,0,rep1_FOV1
12,4,102,179,1,2828.0,5985,83.50760233918129,0,0,0,rep1_FOV1
13,4,102,179,1,2831.0,5919,77.65196823787802,0,0,0,rep1_FOV1
14,4,102,179,1,2816.0,5685,73.3876868953386,0,0,0,rep1_FOV1
15,4,102,179,1,2827.0,5504,71.20948401162791,1,0,1,rep1_FOV1
16,4,102,179,1,2818.0,5664,71.91860875706215,1,3,1,rep1_FOV1
17,4,102,179,1,2820.0,5855,76.14363791631085,2,3,0,rep1_FOV1
18,4,102,179,1,2820.0,5935,76.40994102780118,1,1,1,rep1_FOV1
19,4,102,179,1,2810.0,5863,74.83864915572232,2,2,1,rep1_FOV1
20,4,102,179,1,2835.0,5825,73.6674678111588,4,1,0,rep1_FOV1
0,5,598,182,1,2488.0,6564,118.58394271785497,3,5,1,rep1_FOV1
1,5,598,182,1,2462.0,6517,112.86527543348166,1,4,2,rep1_FOV1
2,5,598,182,1,2490.0,6415,102.47279812938426,5,2,0,rep1_FOV1
3,5,598,182,1,2486.0,6299,94.6354976980473,2,2,0,rep1_FOV1
4,5,598,182,1,2482.0,6314,93.04260373772568,2,4,0,rep1_FOV1
5,5,598,182,1,2485.0,6233,90.28798331461576,1,5,1,rep1_FOV1
6,5,598,182,1,2498.0,6198,90.46837689577283,0,3,1,rep1_FOV1
7,5,598,182,1,2489.0,6154,87.66249593760156,1,1,1,rep1_FOV1
8,5,598,182,1,2488.0,6113,83.26386389661377,3,1,1,rep1_FOV1
9,5,598,182,1,2493.0,5920,80.85675675675675,1,6,1,rep1_FOV1
10,5,598,182,1,2490.0,6131,83.5871799053988,4,5,1,rep1_FOV1
11,5,598,182,1,2480.0,6302,89.260552205649,3,7,1,rep1_FOV1
12,5,598,182,1,2483.0,6412,104.1922956955708,3,8,0,rep1_FOV1
13,5,598,182,1,2484.0,6552,113.14300976800976,0,5,0,rep1_FOV1
14,5,598,182,1,2473.0,6529,113.26543115331596,0,3,0,rep1_FOV1
15,5,598,182,1,2488.0,6390,99.02895148669796,0,1,0,rep1_FOV1
16,5,598,182,1,2485.0,6166,87.75916315277327,0,0,0,rep1_FOV1
17,5,598,182,1,2483.0,5985,80.77710944026734,0,0,0,rep1_FOV1
18,5,598,182,1,2487.0,5907,75.64770611139326,0,0,0,rep1_FOV1
19,5,598,182,1,2482.0,5717,71.61255903445863,0,0,0,rep1_FOV1
20,5,598,182,1,2461.0,5513,67.5503355704698,0,0,0,rep1_FOV1
0,6,384,208,1,2747.0,7102,134.9011546043368,2,10,0,rep1_FOV1
1,6,384,208,1,2761.0,7136,130.32441143497758,2,6,0,rep1_FOV1
2,6,384,208,1,2733.0,6939,120.10722006052744,2,6,0,rep1_FOV1
3,6,384,208,1,2738.0,6924,116.18688619295204,1,4,1,rep1_FOV1
