Cell ID,mRNA in cytoplasm,mRNA in nucleus,Frame,Image
1,7,4,0,rep1_FOV1.tif
2,1,0,0,rep1_FOV1.tif
3,6,3,0,rep1_FOV1.tif
4,1,0,0,rep1_FOV1.tif
5,0,0,0,rep1_FOV1.tif
6,8,3,0,rep1_FOV1.tif
7,3,2,0,rep1_FOV1.tif
8,2,1,0,rep1_FOV1.tif
9,6,3,0,rep1_FOV1.tif
10,1,1,0,rep1_FOV1.tif
11,0,0,0,rep1_FOV1.tif
12,15,4,0,rep1_FOV1.tif
1,4,2,1,rep1_FOV1.tif
2,2,1,1,rep1_FOV1.tif
3,7,3,1,rep1_FOV1.tif
4,1,0,1,rep1_FOV1.tif
5,2,2,1,rep1_FOV1.tif
6,7,2,1,rep1_FOV1.tif
7,3,4,1,rep1_FOV1.tif
8,7,2,1,rep1_FOV1.tif
9,3,2,1,rep1_FOV1.tif
10,2,1,1,rep1_FOV1.tif
11,0,0,1,rep1_FOV1.tif
12,10,3,1,rep1_FOV1.tif
1,0,0,2,rep1_FOV1.tif
2,3,2,2,rep1_FOV1.tif
3,7,2,2,rep1_FOV1.tif
4,1,0,2,rep1_FOV1.tif
5,2,2,2,rep1_FOV1.tif
6,5,2,2,rep1_FOV1.tif
7,8,3,2,rep1_FOV1.tif
8,6,3,2,rep1_FOV1.tif
9,6,2,2,rep1_FOV1.tif
10,2,2,2,rep1_FOV1.tif
11,0,0,2,rep1_FOV1.tif
12,7,3,2,rep1_FOV1.tif
1,0,0,3,rep1_FOV1.tif
2,8,3,3,rep1_FOV1.tif
3,5,2,3,rep1_FOV1.tif
4,2,1,3,rep1_FOV1.tif
5,1,0,3,rep1_FOV1.tif
6,8,4,3,rep1_FOV1.tif
7,4,3,3,rep1_FOV1.tif
8,5,3,3,rep1_FOV1.tif
9,9,4,3,rep1_FOV1.tif
10,5,3,3,rep1_FOV1.tif
11,0,0,3,rep1_FOV1.tif
12,8,2,3,rep1_FOV1.tif
1,0,0,4,rep1_FOV1.tif
2,7,2,4,rep1_FOV1.tif
3,10,5,4,rep1_FOV1.tif
4,5,3,4,rep1_FOV1.tif
5,4,1,4,rep1_FOV1.tif
6,7,0,4,rep1_FOV1.tif
7,2,5,4,rep1_FOV1.tif
8,7,1,4,rep1_FOV1.tif
9,8,3,4,rep1_FOV1.tif
10,9,5,4,rep1_FOV1.tif
11,0,0,4,rep1_FOV1.tif
12,9,2,4,rep1_FOV1.tif
1,0,0,5,rep1_FOV1.tif
2,5,2,5,rep1_FOV1.tif
3,8,2,5,rep1_FOV1.tif
4,0,0,5,rep1_FOV1.tif
5,7,3,5,rep1_FOV1.tif
6,6,0,5,rep1_FOV1.tif
7,1,4,5,rep1_FOV1.tif
8,8,0,5,rep1_FOV1.tif
9,6,1,5,rep1_FOV1.tif
10,9,4,5,rep1_FOV1.tif
11,0,0,5,rep1_FOV1.tif
12,9,2,5,rep1_FOV1.tif
1,1,1,6,rep1_FOV1.tif
2,2,0,6,rep1_FOV1.tif
3,9,3,6,rep1_FOV1.tif
4,0,0,6,rep1_FOV1.tif
5,5,3,6,rep1_FOV1.tif
6,3,0,6,rep1_FOV1.tif
7,2,1,6,rep1_FOV1.tif
