Cell ID,mRNA in cytoplasm,mRNA in nucleus,Frame
1,7,4,0.0
2,1,0,0.0
3,6,3,0.0
4,1,0,0.0
5,0,0,0.0
6,8,3,0.0
7,3,2,0.0
8,2,1,0.0
9,6,3,0.0
10,1,1,0.0
11,0,0,0.0
12,15,4,0.0
1,4,2,1.0
2,2,1,1.0
3,7,3,1.0
4,1,0,1.0
5,2,2,1.0
6,7,2,1.0
7,3,4,1.0
8,7,2,1.0
9,3,2,1.0
10,2,1,1.0
11,0,0,1.0
12,10,3,1.0
1,0,0,2.0
2,3,2,2.0
3,7,2,2.0
4,1,0,2.0
5,2,2,2.0
6,5,2,2.0
7,8,3,2.0
8,6,3,2.0
9,6,2,2.0
10,2,2,2.0
11,0,0,2.0
12,7,3,2.0
1,0,0,3.0
2,8,3,3.0
3,5,2,3.0
4,2,1,3.0
5,1,0,3.0
6,8,4,3.0
7,4,3,3.0
8,5,3,3.0
9,9,4,3.0
10,5,3,3.0
11,0,0,3.0
12,8,2,3.0
1,0,0,4.0
2,7,2,4.0
3,10,5,4.0
4,5,3,4.0
5,4,1,4.0
6,7,0,4.0
7,2,5,4.0
8,7,1,4.0
9,8,3,4.0
10,9,5,4.0
11,0,0,4.0
12,9,2,4.0
1,0,0,5.0
2,5,2,5.0
3,8,2,5.0
4,0,0,5.0
5,7,3,5.0
6,6,0,5.0
7,1,4,5.0
8,8,0,5.0
9,6,1,5.0
10,9,4,5.0
11,0,0,5.0
12,9,2,5.0
1,1,1,6.0
2,2,0,6.0
3,9,3,6.0
4,0,0,6.0
5,5,3,6.0
6,3,0,6.0
7,2,1,6.0
8,4,0,6.0
9,0,0,6.0
10,11,3,6.0
11,0,0,6.0
12,9,1,6.0
1,0,0,7.0
2,2,1,7.0
3,9,2,7.0
4,0,0,7.0
5,6,2,7.0
6,0,0,7.0
7,1,2,7.0
8,4,0,7.0
9,0,0,7.0
10,5,3,7.0
11,0,0,7.0
12,3,1,7.0
1,0,0,8.0
2,0,0,8.0
3,9,4,8.0
4,0,0,8.0
5,4,3,8.0
6,1,1,8.0
7,1,4,8.0
8,9,0,8.0
9,0,0,8.0
10,7,3,8.0
11,0,0,8.0
12,4,1,8.0
1,3,2,9.0
2,0,0,9.0
3,7,3,9.0
4,0,0,9.0
5,7,2,9.0
6,8,4,9.0
7,1,4,9.0
8,14,0,9.0
9,0,0,9.0
10,0,0,9.0
11,0,0,9.0
12,3,1,9.0
1,3,1,10.0
2,0,0,10.0
3,8,2,10.0
4,0,0,10.0
5,4,2,10.0
6,0,0,10.0
7,1,4,10.0
8,11,0,10.0
9,0,0,10.0
10,0,0,10.0
11,0,0,10.0
12,3,0,10.0
1,3,1,11.0
2,0,0,11.0
3,4,1,11.0
4,0,0,11.0
5,5,3,11.0
6,0,0,11.0
7,1,3,11.0
8,8,0,11.0
9,0,0,11.0
10,0,0,11.0
11,0,0,11.0
12,8,2,11.0
1,0,0,12.0
2,0,0,12.0
3,6,1,12.0
4,0,0,12.0
5,5,4,12.0
6,0,0,12.0
7,1,0,12.0
8,4,0,12.0
9,0,0,12.0
10,0,0,12.0
11,0,0,12.0
12,5,1,12.0
1,0,0,13.0
2,0,0,13.0
3,5,1,13.0
4,0,0,13.0
5,5,4,13.0
6,0,0,13.0
7,2,0,13.0
8,3,2,13.0
9,0,0,13.0
10,0,0,13.0
11,0,0,13.0
12,8,1,13.0
1,0,0,14.0
2,0,0,14.0
3,3,1,14.0
4,0,0,14.0
5,5,2,14.0
6,0,0,14.0
7,4,1,14.0
8,5,4,14.0
9,0,0,14.0
10,0,0,14.0
11,0,0,14.0
12,4,0,14.0
1,0,0,15.0
2,0,0,15.0
3,1,0,15.0
4,0,0,15.0
5,7,2,15.0
6,0,0,15.0
7,1,0,15.0
8,2,1,15.0
9,0,0,15.0
10,0,0,15.0
11,0,0,15.0
12,3,0,15.0
1,0,0,16.0
2,0,0,16.0
3,1,0,16.0
4,0,0,16.0
5,7,3,16.0
6,0,0,16.0
7,5,0,16.0
8,1,3,16.0
9,0,0,16.0
10,0,0,16.0
11,0,0,16.0
12,3,1,16.0
1,0,0,17.0
2,0,0,17.0
3,3,1,17.0
4,0,0,17.0
5,0,0,17.0
6,0,0,17.0
7,4,0,17.0
8,1,2,17.0
9,0,0,17.0
10,0,0,17.0
11,0,0,17.0
12,4,3,17.0
1,0,0,18.0
2,0,0,18.0
3,5,1,18.0
4,0,0,18.0
5,0,0,18.0
6,0,0,18.0
7,2,1,18.0
8,2,0,18.0
9,0,0,18.0
10,0,0,18.0
11,0,0,18.0
12,6,4,18.0
1,0,0,19.0
2,0,0,19.0
3,7,2,19.0
4,0,0,19.0
5,0,0,19.0
6,0,0,19.0
7,4,1,19.0
8,2,2,19.0
9,0,0,19.0
10,0,0,19.0
11,0,0,19.0
12,0,0,19.0
1,0,0,20.0
2,0,0,20.0
3,0,0,20.0
4,0,0,20.0
5,0,0,20.0
6,0,0,20.0
7,3,0,20.0
8,1,2,20.0
9,0,0,20.0
10,0,0,20.0
11,0,0,20.0
12,0,0,20.0
