time,cell_number,x,y,Alive,nuclei_size,cell_size,protein_concentration
0,1,397,68,1,2718.0,6414,105.33879014655442
1,1,397,68,1,2711.0,6412,101.30193387398627
2,1,397,68,1,2722.0,6197,90.70453445215426
3,1,397,68,1,2731.0,6106,82.54683917458237
4,1,397,68,1,2718.0,5758,75.01979854116013
5,1,397,68,1,2711.0,5539,70.21429860985738
6,1,397,68,1,2718.0,5550,69.53009009009008
7,1,397,68,1,2704.0,5399,66.46434524912021
8,1,397,68,1,2715.0,5271,66.54354012521343
9,1,397,68,1,2714.0,5456,65.45729472140762
10,1,397,68,1,2717.0,5587,68.7329514945409
11,1,397,68,1,2726.0,5773,71.79646630867833
12,1,397,68,0,0.0,0,0.0
13,1,397,68,0,0.0,0,0.0
14,1,397,68,0,0.0,0,0.0
15,1,397,68,0,0.0,0,0.0
16,1,397,68,0,0.0,0,0.0
17,1,397,68,0,0.0,0,0.0
18,1,397,68,0,0.0,0,0.0
19,1,397,68,0,0.0,0,0.0
20,1,397,68,0,0.0,0,0.0
0,2,594,96,1,2451.0,5708,85.42904695164681
1,2,594,96,1,2459.0,5584,80.81554441260745
2,2,594,96,1,2467.0,5699,82.1472188103176
3,2,594,96,1,2456.0,5986,96.87487470765119
4,2,594,96,1,2450.0,6120,107.36633986928105
5,2,594,96,1,2439.0,6082,103.99473857283789
6,2,594,96,1,2456.0,6069,102.91333003789751
7,2,594,96,1,2451.0,5999,94.60710118353059
8,2,594,96,0,0.0,0,0.0
9,2,594,96,0,0.0,0,0.0
10,2,594,96,0,0.0,0,0.0
11,2,594,96,0,0.0,0,0.0
12,2,594,96,0,0.0,0,0.0
13,2,594,96,0,0.0,0,0.0
14,2,594,96,0,0.0,0,0.0
15,2,594,96,0,0.0,0,0.0
16,2,594,96,0,0.0,0,0.0
17,2,594,96,0,0.0,0,0.0
18,2,594,96,0,0.0,0,0.0
19,2,594,96,0,0.0,0,0.0
20,2,594,96,0,0.0,0,0.0
0,3,207,161,1,2438.0,7243,113.60389341433108
1,3,207,161,1,2427.0,7032,103.24274744027304
2,3,207,161,1,2437.0,6952,97.12356156501725
3,3,207,161,1,2425.0,6806,90.16441375257126
4,3,207,161,1,2403.0,6796,88.00691583284285
5,3,207,161,1,2427.0,7068,102.20345217883418
6,3,207,161,1,2420.0,6980,101.39312320916905
7,3,207,161,1,2424.0,7097,99.9708327462308
8,3,207,161,1,2437.0,7038,103.19451548735437
9,3,207,161,1,2422.0,7061,103.58702733323892
10,3,207,161,1,2447.0,7078,102.82692851087877
11,3,207,161,1,2414.0,6966,98.76600631639391
12,3,207,161,1,2425.0,7026,102.53458582408199
13,3,207,161,1,2424.0,7164,107.77554438860972
14,3,207,161,1,2425.0,7080,103.09251412429379
15,3,207,161,1,2423.0,6951,95.81125017983024
16,3,207,161,1,2407.0,6788,88.3594578668238
17,3,207,161,1,2426.0,6789,84.8619826189424
18,3,207,161,1,2422.0,6870,91.29141193595342
19,3,207,161,1,2413.0,6926,97.95177591683512
20,3,207,161,0,0.0,0,0.0
0,4,327,203,1,2713.0,6689,90.14067872626701
1,4,327,203,1,2735.0,6658,84.17302493241213
2,4,327,203,1,2743.0,6359,76.8021701525397
3,4,327,203,1,2731.0,6328,73.38305941845765
4,4,327,203,1,2728.0,6253,72.66624020470174
5,4,327,203,0,0.0,0,0.0
6,4,327,203,0,0.0,0,0.0
7,4,327,203,0,0.0,0,0.0
8,4,327,203,0,0.0,0,0.0
9,4,327,203,0,0.0,0,0.0
10,4,327,203,0,0.0,0,0.0
11,4,327,203,0,0.0,0,0.0
12,4,327,203,0,0.0,0,0.0
13,4,327,203,0,0.0,0,0.0
14,4,327,203,0,0.0,0,0.0
15,4,327,203,0,0.0,0,0.0
16,4,327,203,0,0.0,0,0.0
17,4,327,203,0,0.0,0,0.0
18,4,327,203,0,0.0,0,0.0
19,4,327,203,0,0.0,0,0.0
20,4,327,203,0,0.0,0,0.0
0,5,599,206,1,2507.0,5619,70.90336358782702
1,5,599,206,1,2525.0,5569,70.29897647692584
2,5,599,206,1,2510.0,5612,71.74786172487526
3,5,599,206,1,2504.0,5818,75.35699553111034
4,5,599,206,1,2514.0,6030,81.23482587064677
5,5,599,206,1,2533.0,6040,83.69850993377483
6,5,599,206,1,2517.0,6142,86.51107131227613
7,5,599,206,1,2528.0,6302,95.05680736274199
8,5,599,206,1,2517.0,6298,96.01381390917751
9,5,599,206,1,2509.0,6514,113.56877494626957
10,5,599,206,1,2519.0,6617,120.80852350007557
11,5,599,206,1,2514.0,6645,124.2158013544018
12,5,599,206,1,2517.0,6611,123.36348510058993
13,5,599,206,1,2509.0,6648,121.75195547533093
14,5,599,206,1,2514.0,6677,119.37426988168339
15,5,599,206,1,2512.0,6644,127.38470800722456
16,5,599,206,1,2510.0,6816,145.0837734741784
17,5,599,206,0,0.0,0,0.0
18,5,599,206,0,0.0,0,0.0
19,5,599,206,0,0.0,0,0.0
20,5,599,206,0,0.0,0,0.0
0,6,490,245,1,2691.0,6339,120.12809591418205
1,6,490,245,1,2680.0,6511,132.90800184303487
2,6,490,245,1,2694.0,6472,132.7724042027194
3,6,490,245,1,2684.0,6530,131.6021439509954
4,6,490,245,1,2684.0,6393,125.75441889566713
5,6,490,245,1,2686.0,6357,116.83010854176499
6,6,490,245,1,2688.0,6276,109.48741236456341
7,6,490,245,1,2678.0,6117,98.60062121955207
8,6,490,245,1,2667.0,5957,87.25297968776229
9,6,490,245,1,2691.0,5968,87.46179624664879
10,6,490,245,0,0.0,0,0.0
11,6,490,245,0,0.0,0,0.0
12,6,490,245,0,0.0,0,0.0
13,6,490,245,0,0.0,0,0.0
14,6,490,245,0,0.0,0,0.0
15,6,490,245,0,0.0,0,0.0
16,6,490,245,0,0.0,0,0.0
17,6,490,245,0,0.0,0,0.0
18,6,490,245,0,0.0,0,0.0
19,6,490,245,0,0.0,0,0.0
20,6,490,245,0,0.0,0,0.0
0,7,85,448,1,2658.0,5606,72.71298608633607
1,7,85,448,1,2676.0,5656,72.74062942008487
2,7,85,448,1,2669.0,5923,83.45568124261354
3,7,85,448,1,2654.0,6071,88.57684071816834
4,7,85,448,1,2656.0,6013,89.82388158988857
5,7,85,448,1,2642.0,6178,91.59307219164778
6,7,85,448,1,2674.0,6105,93.64602784602785
7,7,85,448,1,2651.0,6035,91.33570836785418
8,7,85,448,1,2669.0,6045,90.14474772539289
9,7,85,448,1,2652.0,6402,111.86035613870665
10,7,85,448,1,2657.0,6647,137.08108921317887
11,7,85,448,1,2663.0,6666,149.46849684968498
12,7,85,448,1,2656.0,6739,151.22347529307018
13,7,85,448,1,2669.0,6755,144.96891191709844
14,7,85,448,1,2648.0,6616,131.92397218863363
15,7,85,448,1,2672.0,6460,118.14551083591331
16,7,85,448,1,2651.0,6274,103.56965253426841
17,7,85,448,1,2652.0,6197,92.20090366306277
18,7,85,448,1,2665.0,5991,84.2647304289768
19,7,85,448,1,2670.0,5862,80.16291368133743
20,7,85,448,1,2654.0,5687,76.49780200457182
0,8,345,450,1,2548.0,5811,81.24832214765101
1,8,345,450,1,2556.0,5910,85.80389170896785
2,8,345,450,1,2577.0,5910,87.6906937394247
3,8,345,450,1,2558.0,5962,92.51224421335122
4,8,345,450,1,2561.0,6109,97.7191029628417
5,8,345,450,1,2553.0,5960,94.34463087248322
6,8,345,450,1,2563.0,5930,87.79426644182125
7,8,345,450,1,2558.0,5739,82.5574141836557
