,time,cell_number,x,y,Alive,nuclei_size,cell_size
0,0,1,397,68,1,2718.0,7649
1,1,1,397,68,1,2711.0,7653
2,2,1,397,68,1,2722.0,7413
3,3,1,397,68,1,2731.0,7333
4,4,1,397,68,1,2718.0,6979
5,5,1,397,68,1,2711.0,6764
6,6,1,397,68,1,2718.0,6767
7,7,1,397,68,1,2704.0,6655
8,8,1,397,68,1,2715.0,6514
9,9,1,397,68,1,2714.0,6703
10,10,1,397,68,1,2717.0,6815
11,11,1,397,68,1,2726.0,7000
12,12,1,397,68,0,0.0,0
13,13,1,397,68,0,0.0,0
14,14,1,397,68,0,0.0,0
15,15,1,397,68,0,0.0,0
16,16,1,397,68,0,0.0,0
17,17,1,397,68,0,0.0,0
18,18,1,397,68,0,0.0,0
19,19,1,397,68,0,0.0,0
20,20,1,397,68,0,0.0,0
21,0,2,594,96,1,2451.0,6924
22,1,2,594,96,1,2459.0,6791
23,2,2,594,96,1,2467.0,6902
24,3,2,594,96,1,2456.0,7188
25,4,2,594,96,1,2450.0,7329
26,5,2,594,96,1,2439.0,7295
27,6,2,594,96,1,2456.0,7272
28,7,2,594,96,1,2451.0,7206
29,8,2,594,96,0,0.0,0
30,9,2,594,96,0,0.0,0
31,10,2,594,96,0,0.0,0
32,11,2,594,96,0,0.0,0
33,12,2,594,96,0,0.0,0
34,13,2,594,96,0,0.0,0
35,14,2,594,96,0,0.0,0
36,15,2,594,96,0,0.0,0
37,16,2,594,96,0,0.0,0
38,17,2,594,96,0,0.0,0
39,18,2,594,96,0,0.0,0
40,19,2,594,96,0,0.0,0
41,20,2,594,96,0,0.0,0
42,0,3,207,161,1,2438.0,8513
43,1,3,207,161,1,2427.0,8302
44,2,3,207,161,1,2437.0,8213
45,3,3,207,161,1,2425.0,8084
46,4,3,207,161,1,2403.0,8045
47,5,3,207,161,1,2427.0,8320
48,6,3,207,161,1,2420.0,8239
49,7,3,207,161,1,2424.0,8369
50,8,3,207,161,1,2437.0,8319
51,9,3,207,161,1,2422.0,8339
52,10,3,207,161,1,2447.0,8350
53,11,3,207,161,1,2414.0,8246
54,12,3,207,161,1,2425.0,8299
55,13,3,207,161,1,2424.0,8434
56,14,3,207,161,1,2425.0,8351
57,15,3,207,161,1,2423.0,8215
58,16,3,207,161,1,2407.0,8039
59,17,3,207,161,1,2426.0,8045
60,18,3,207,161,1,2422.0,8122
61,19,3,207,161,1,2413.0,8201
62,20,3,207,161,0,0.0,0
63,0,4,327,203,1,2713.0,7987
64,1,4,327,203,1,2735.0,7960
65,2,4,327,203,1,2743.0,7635
66,3,4,327,203,1,2731.0,7633
67,4,4,327,203,1,2728.0,7534
68,5,4,327,203,0,0.0,0
69,6,4,327,203,0,0.0,0
70,7,4,327,203,0,0.0,0
71,8,4,327,203,0,0.0,0
72,9,4,327,203,0,0.0,0
73,10,4,327,203,0,0.0,0
74,11,4,327,203,0,0.0,0
75,12,4,327,203,0,0.0,0
76,13,4,327,203,0,0.0,0
77,14,4,327,203,0,0.0,0
78,15,4,327,203,0,0.0,0
79,16,4,327,203,0,0.0,0
80,17,4,327,203,0,0.0,0
81,18,4,327,203,0,0.0,0
82,19,4,327,203,0,0.0,0
83,20,4,327,203,0,0.0,0
84,0,5,599,206,1,2507.0,6860
85,1,5,599,206,1,2525.0,6775
86,2,5,599,206,1,2510.0,6818
87,3,5,599,206,1,2504.0,7036
88,4,5,599,206,1,2514.0,7295
89,5,5,599,206,1,2533.0,7307
90,6,5,599,206,1,2517.0,7394
91,7,5,599,206,1,2528.0,7548
92,8,5,599,206,1,2517.0,7537
93,9,5,599,206,1,2509.0,7779
94,10,5,599,206,1,2519.0,7863
95,11,5,599,206,1,2514.0,7914
96,12,5,599,206,1,2517.0,7895
97,13,5,599,206,1,2509.0,7900
98,14,5,599,206,1,2514.0,7950
99,15,5,599,206,1,2512.0,7903
100,16,5,599,206,1,2510.0,8083
101,17,5,599,206,0,0.0,0
102,18,5,599,206,0,0.0,0
103,19,5,599,206,0,0.0,0
104,20,5,599,206,0,0.0,0
105,0,6,490,245,1,2691.0,7555
106,1,6,490,245,1,2680.0,7767
107,2,6,490,245,1,2694.0,7714
108,3,6,490,245,1,2684.0,7780
109,4,6,490,245,1,2684.0,7624
110,5,6,490,245,1,2686.0,7590
111,6,6,490,245,1,2688.0,7505
112,7,6,490,245,1,2678.0,7343
113,8,6,490,245,1,2667.0,7177
114,9,6,490,245,1,2691.0,7212
115,10,6,490,245,0,0.0,0
116,11,6,490,245,0,0.0,0
117,12,6,490,245,0,0.0,0
118,13,6,490,245,0,0.0,0
119,14,6,490,245,0,0.0,0
120,15,6,490,245,0,0.0,0
121,16,6,490,245,0,0.0,0
122,17,6,490,245,0,0.0,0
123,18,6,490,245,0,0.0,0
124,19,6,490,245,0,0.0,0
125,20,6,490,245,0,0.0,0
126,0,7,85,448,1,2658.0,6829
127,1,7,85,448,1,2676.0,6872
128,2,7,85,448,1,2669.0,7144
129,3,7,85,448,1,2654.0,7293
130,4,7,85,448,1,2656.0,7220
131,5,7,85,448,1,2642.0,7391
132,6,7,85,448,1,2674.0,7325
133,7,7,85,448,1,2651.0,7258
134,8,7,85,448,1,2669.0,7263
135,9,7,85,448,1,2652.0,7640
136,10,7,85,448,1,2657.0,7883
137,11,7,85,448,1,2663.0,7911
138,12,7,85,448,1,2656.0,7987
139,13,7,85,448,1,2669.0,8009
140,14,7,85,448,1,2648.0,7860
141,15,7,85,448,1,2672.0,7689
142,16,7,85,448,1,2651.0,7493
143,17,7,85,448,1,2652.0,7413
144,18,7,85,448,1,2665.0,7184
145,19,7,85,448,1,2670.0,7067
146,20,7,85,448,1,2654.0,6887
147,0,8,345,450,1,2548.0,7018
148,1,8,345,450,1,2556.0,7131
149,2,8,345,450,1,2577.0,7121
150,3,8,345,450,1,2558.0,7179
151,4,8,345,450,1,2561.0,7316
152,5,8,345,450,1,2553.0,7152
153,6,8,345,450,1,2563.0,7126
154,7,8,345,450,1,2558.0,6934
155,8,8,345,450,1,2563.0,6970
156,9,8,345,450,1,2576.0,6808
157,10,8,345,450,1,2561.0,6677
